date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:27	43330/43330	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202023%2007:50:34%20GMT	https://www.madebydesignesia.com/themes/rentaly/booking.html	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/booking.html	(from )
11:24:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2004:24:27%20GMT	https://www.madebydesignesia.com/robots.txt		(from )
11:24:28	2964/2964	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Oct%202023%2012:24:45%20GMT	https://www.madebydesignesia.com/themes/rentaly/images/icon.png	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/images/icon.png	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:28	155845/155845	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:35%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/bootstrap.min.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/bootstrap.min.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:28	294237/294237	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:36%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/mdb.min.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/mdb.min.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:28	99559/99559	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:37%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/plugins.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/plugins.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:29	321283/321283	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:37%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/style.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/style.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:29	13625/13625	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:36%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/coloring.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/coloring.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:29	143/143	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202023%2006:10:38%20GMT	https://www.madebydesignesia.com/themes/rentaly/css/colors/scheme-01.css	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/css/colors/scheme-01.css	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
11:24:29	72567/72567	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202023%2007:50:32%20GMT	https://www.madebydesignesia.com/themes/rentaly/index.html	C:/xampp/htdocs/giaoDien/giaoDien/www.madebydesignesia.com/themes/rentaly/index.html	(from https://www.madebydesignesia.com/themes/rentaly/booking.html)
